ham	Hey, are we still meeting for coffee at 5 pm today?
ham	Please bring the project notes to class tomorrow.
ham	I have reached home safely, call me when you are free.
ham	Can you send me the updated sales report by evening?
ham	Lunch is ready, come downstairs when you finish your work.
ham	Do not forget to pay the electricity bill before Friday.
ham	I am stuck in traffic and will be 15 minutes late.
ham	The meeting has been moved to 10 am in room 204.
ham	Can you pick up milk, bread, and eggs on your way back?
ham	Your appointment with Dr. Mehta is confirmed for Monday.
ham	Happy birthday! Wishing you a wonderful year ahead.
ham	I shared the notes in the group, please check them.
ham	Let us revise the NLP topic together after dinner.
ham	The package was delivered to the security desk.
ham	Mom asked if you can visit this weekend.
ham	Your cab has arrived outside the main gate.
ham	Please review the assignment and submit it before midnight.
ham	I will call you after my interview is over.
spam	Congratulations! You have won a free movie voucher. Claim now.
spam	Urgent! Your account is selected for a cash reward of 5000.
spam	Win a brand new phone by clicking this exclusive offer link.
spam	Limited time deal! Get 70 percent off on all fashion items.
spam	You have been chosen for a lucky draw. Reply WIN to enter.
spam	Free entry in a weekly contest. Call now to claim your prize.
spam	Earn money from home without investment. Join today.
spam	Your loan is approved instantly. Apply now with zero paperwork.
spam	Exclusive offer just for you. Buy one and get one free.
spam	Final reminder: renew your membership now and unlock premium gifts.
spam	Claim your cashback reward before it expires tonight.
spam	Get cheap flight tickets now. Book today and save big.
spam	You are pre-approved for a credit card with no annual fee.
spam	Act fast! Last chance to grab your bonus shopping coupon.
spam	Winner! You have received a festival gift hamper. Confirm now.
spam	Special promotion: recharge today and get double data for free.
spam	Click here to verify your account and avoid service suspension.
spam	Lowest insurance rates available now. Call our agent today.
